25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
25-05-2022:18:04:21 DEBUG    [font_manager.py:1341] findfont: score(FontEntry(fname='C:\\Application\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
